City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,georgetown,5.4112,100.3354,86.0,54,20,3.44,MY,1612496287
84,amapa,1.0,-52.0,69.89,98,100,1.81,BR,1612496388
85,karratha,-20.7377,116.8463,85.89,67,26,15.61,AU,1612496333
86,namibe,-15.1961,12.1522,69.62,77,20,8.93,AO,1612496389
87,new norfolk,-42.7826,147.0587,79.0,70,100,1.01,AU,1612496137
88,nome,64.5011,-165.4064,10.0,72,90,17.27,US,1612496328
89,nanortalik,60.1432,-45.2371,21.38,79,100,8.3,GL,1612496138
90,albany,42.6001,-73.9662,26.01,63,18,2.82,US,1612496389
91,lithakia,37.7167,20.8333,50.0,93,40,1.61,GR,1612496390
92,wundanyi,-3.4019,38.364,60.44,100,39,3.47,KE,1612496390
93,bluff,-46.6,168.3333,58.37,73,87,11.45,NZ,1612496142
94,sinnamary,5.3833,-52.95,76.84,81,75,13.33,GF,1612496390
95,nikolskoye,59.7035,30.7861,7.0,84,20,11.18,RU,1612496390
96,pangnirtung,66.1451,-65.7125,5.88,88,98,2.84,CA,1612496391
97,pamekasan,-7.1568,113.4746,83.73,77,64,19.13,ID,1612496391
98,egvekinot,66.3167,-179.1667,-20.74,90,100,17.05,RU,1612496391
99,snezhnogorsk,69.1933,33.2531,-2.2,78,40,7.11,RU,1612496391
100,brasilia de minas,-16.2064,-44.4333,68.25,88,42,3.65,BR,1612496392
101,namatanai,-3.6667,152.4333,84.38,72,21,4.12,PG,1612496143
102,saint-philippe,-21.3585,55.7679,82.0,74,0,5.75,RE,1612496242
103,solano,38.2333,-121.9511,51.01,49,1,4.61,US,1612496393
104,hasaki,35.7333,140.8333,50.0,34,20,8.05,JP,1612496266
105,east london,-33.0153,27.9116,68.0,94,75,2.3,ZA,1612496230
106,buala,-8.145,159.5921,85.26,71,1,8.3,SB,1612496245
107,tazovskiy,67.4667,78.7,-27.22,86,100,7.52,RU,1612496393
108,hofn,64.2539,-15.2082,36.48,79,100,17.25,IS,1612496394
109,verkhnevilyuysk,63.4453,120.3167,-33.65,81,40,2.28,RU,1612496394
110,pitimbu,-7.4706,-34.8086,78.8,83,20,5.75,BR,1612496394
111,huicungo,-7.2833,-76.8,71.62,90,100,1.57,PE,1612496394
112,hun,29.1268,15.9477,55.99,87,8,4.61,LY,1612496394
113,marzuq,14.4,46.4667,57.96,46,0,3.58,YE,1612496395
114,vitim,59.4511,112.5578,-5.67,87,100,1.48,RU,1612496395
115,makakilo city,21.3469,-158.0858,75.2,50,20,11.5,US,1612496225
116,vaini,-21.2,-175.2,80.6,94,75,5.75,TO,1612496395
117,los angeles,34.0522,-118.2437,59.0,67,1,2.98,US,1612496396
118,muswellbrook,-32.2667,150.9,94.91,28,0,2.33,AU,1612496396
119,esperance,-33.8667,121.9,64.4,52,90,14.97,AU,1612496143
120,bredasdorp,-34.5322,20.0403,60.8,88,3,1.14,ZA,1612496396
121,temryuk,45.2722,37.3811,48.2,81,71,6.71,RU,1612496114
122,xinpu,34.5997,119.1594,52.77,44,100,11.21,CN,1612496397
123,manggar,-2.8833,108.2667,86.18,66,96,13.06,ID,1612496397
124,souillac,-20.5167,57.5167,77.0,83,40,2.3,MU,1612496244
125,cuenca,-2.8833,-78.9833,57.2,94,100,4.61,EC,1612496177
126,kieta,-6.2167,155.6333,85.17,71,42,6.67,PG,1612496262
127,nyurba,63.2842,118.3319,-33.5,82,66,3.98,RU,1612496282
128,san patricio,28.017,-97.5169,69.8,83,1,8.05,US,1612496138
129,the valley,18.217,-63.0578,78.8,73,20,13.8,AI,1612496399
130,mbanza-ngungu,-5.25,14.8667,69.08,100,100,2.55,CD,1612496399
131,iqaluit,63.7506,-68.5145,14.0,79,90,8.05,CA,1612496302
132,pisco,-13.7,-76.2167,73.0,78,0,11.5,PE,1612496399
133,brae,60.3964,-1.353,35.6,64,90,20.71,GB,1612496400
134,zherdevka,51.8486,41.4606,35.78,98,100,7.78,RU,1612496400
135,batagay-alyta,67.8006,130.4114,-20.24,86,100,2.95,RU,1612496400
136,zalantun,48.0,122.7167,20.19,88,10,8.25,CN,1612496400
137,innisfail,-17.5333,146.0333,85.41,64,87,8.1,AU,1612496401
138,port elizabeth,-33.918,25.5701,60.8,88,0,5.48,ZA,1612496367
139,lebu,-37.6167,-73.65,59.29,84,0,4.9,CL,1612496401
140,cabinda,-5.55,12.2,80.13,85,100,6.89,AO,1612496401
141,maroua,10.591,14.3159,65.07,27,14,9.17,CM,1612496403
142,maniitsoq,65.4167,-52.9,13.89,72,100,2.98,GL,1612496240
143,inuvik,68.3499,-133.7218,-36.4,74,100,8.05,CA,1612496404
144,meulaboh,4.1363,96.1285,85.86,61,49,0.63,ID,1612496404
145,monrovia,6.3005,-10.7969,75.2,94,20,5.97,LR,1612496404
146,port alfred,-33.5906,26.891,68.0,87,53,1.99,ZA,1612496224
147,port-gentil,-0.7193,8.7815,81.52,80,84,7.83,GA,1612496404
148,labuhan,-6.8844,112.2051,82.99,80,87,19.17,ID,1612496405
149,superior,46.7208,-92.1041,14.0,62,90,18.41,US,1612496405
150,garissa,-0.4536,39.6401,73.53,82,1,4.43,KE,1612496308
151,raudeberg,61.9875,5.1352,21.99,57,0,9.22,NO,1612496405
152,iberia,29.9502,-91.7507,66.2,94,90,10.36,US,1612496335
153,piacabucu,-10.4056,-36.4344,78.1,81,55,11.05,BR,1612496406
154,axim,4.8699,-2.2405,78.91,88,5,5.53,GH,1612496406
155,srednekolymsk,67.45,153.6833,-6.38,84,83,15.32,RU,1612496259
156,praia da vitoria,38.7333,-27.0667,51.8,87,75,20.07,PT,1612496407
157,werda,-25.2667,23.2833,67.66,88,45,5.3,BW,1612496407
158,la ronge,55.1001,-105.2842,-0.4,71,100,11.5,CA,1612496155
159,kharan,28.5833,65.4167,54.55,34,0,1.74,PK,1612496407
160,tabas,33.5959,56.9244,39.2,28,0,4.61,IR,1612496407
161,broken hill,-31.95,141.4333,71.6,37,40,12.66,AU,1612496273
162,richards bay,-28.783,32.0377,73.71,89,82,7.61,ZA,1612496267
163,ketchikan,55.3422,-131.6461,39.2,100,75,10.36,US,1612496408
164,bose,45.4612,8.0137,46.0,96,100,0.89,IT,1612496409
165,hithadhoo,-0.6,73.0833,82.33,78,100,11.97,MV,1612496409
166,san quintin,30.4833,-115.95,56.32,78,51,8.12,MX,1612496296
167,baiyin,36.5583,104.2081,30.2,29,0,6.71,CN,1612496177
168,sembe,1.6481,14.5806,71.55,86,78,1.1,CG,1612496409
169,kajaani,64.2273,27.7285,-5.8,84,40,3.44,FI,1612496410
170,khani,41.9563,42.9566,51.8,66,90,12.66,GE,1612496410
171,le port,-20.9373,55.2919,75.2,83,75,4.61,RE,1612496410
172,vila franca do campo,37.7167,-25.4333,53.6,71,40,11.5,PT,1612496410
173,kasiri,8.9412,-13.1148,74.52,83,33,5.61,SL,1612496410
174,kodiak,57.79,-152.4072,24.8,80,1,8.05,US,1612496411
175,whitehorse,60.7161,-135.0538,-11.2,77,1,3.44,CA,1612496411
176,linxia,35.6003,103.2064,35.76,56,0,2.51,CN,1612496411
177,dwarka,22.2394,68.9678,71.42,43,0,14.25,IN,1612496243
178,longyearbyen,78.2186,15.6401,19.4,68,75,12.66,SJ,1612496411
179,tutoia,-2.7619,-42.2744,79.79,76,18,12.77,BR,1612496412
180,san ramon,37.7799,-121.978,51.8,57,1,5.75,US,1612496378
181,phalaborwa,-23.943,31.1411,73.98,93,100,4.81,ZA,1612496412
182,pochutla,15.7432,-96.4661,77.0,89,76,1.99,MX,1612496412
183,mahebourg,-20.4081,57.7,77.0,83,40,2.3,MU,1612496399
184,muros,42.7762,-9.0603,45.0,94,65,8.16,ES,1612496413
185,soyo,-6.1349,12.3689,80.15,85,100,9.69,AO,1612496290
186,sesheke,-17.4759,24.2968,66.96,93,83,5.3,ZM,1612496413
187,trincomalee,8.5711,81.2335,78.76,76,65,12.57,LK,1612496308
188,havre-saint-pierre,50.2334,-63.5986,32.0,100,90,5.75,CA,1612496414
189,pachino,36.7186,15.0907,44.6,93,75,3.44,IT,1612496414
190,porto walter,-8.2686,-72.7439,72.59,97,100,1.16,BR,1612496414
191,teguise,29.0605,-13.564,55.4,76,20,11.5,ES,1612496298
192,bytow,54.1706,17.4919,16.0,92,20,2.3,PL,1612496330
193,bambous virieux,-20.3428,57.7575,81.0,83,40,2.3,MU,1612496415
194,tromso,69.6496,18.957,30.2,86,75,13.8,NO,1612496415
195,talnakh,69.4865,88.3972,-23.53,85,99,1.16,RU,1612496219
196,vostok,46.4856,135.8833,1.27,84,7,5.06,RU,1612496136
197,nemuro,43.3236,145.575,19.4,49,75,11.5,JP,1612496309
198,bullhead city,35.1478,-114.5683,59.0,51,1,10.36,US,1612496416
199,broome,42.2506,-75.833,30.2,59,1,4.61,US,1612496416
200,zlobin,45.2924,14.6541,54.0,94,75,4.61,HR,1612496416
201,bengkulu,-3.8004,102.2655,85.51,60,33,5.53,ID,1612496285
202,lakes entrance,-37.8811,147.981,84.99,46,92,7.0,AU,1612496416
203,sundargarh,22.1167,84.0333,66.2,48,0,2.3,IN,1612496229
204,lamar,33.6668,-95.5836,46.0,57,1,10.36,US,1612496417
205,almunecar,36.7339,-3.6907,61.0,78,52,13.67,ES,1612496417
206,leh,34.1667,77.5833,10.98,66,100,0.58,IN,1612496418
207,huescar,37.811,-2.5412,51.01,90,83,3.0,ES,1612496418
208,imbituba,-28.24,-48.6703,73.4,73,0,8.05,BR,1612496418
209,palmerston,-12.486,130.9833,77.0,94,75,13.8,AU,1612496418
210,cuamba,-14.8031,36.5372,69.62,97,52,1.21,MZ,1612496418
211,guerrero negro,27.9769,-114.0611,60.04,74,100,15.03,MX,1612496419
212,fayaoue,-20.65,166.5333,80.91,81,1,15.61,NC,1612496419
213,norman wells,65.282,-126.8329,-41.8,66,40,6.91,CA,1612496312
214,vossevangen,60.623,6.4229,19.0,86,0,5.41,NO,1612496420
215,arman,59.7,150.1667,-0.54,82,83,13.76,RU,1612496137
216,jilin,43.0,126.0,30.97,93,0,16.82,CN,1612496420
217,kavaratti,10.5669,72.642,81.19,75,69,12.12,IN,1612496420
218,clyde river,70.4692,-68.5914,-22.0,76,90,19.57,CA,1612496420
219,xilopolis,40.9271,23.1794,48.99,67,100,1.97,GR,1612496421
220,novyye lyady,58.0536,56.6039,26.6,93,90,8.95,RU,1612496421
221,miandrivazo,-19.5167,45.4667,78.76,81,100,3.15,MG,1612496421
222,boa vista,2.8197,-60.6733,77.0,88,90,16.11,BR,1612496421
223,xingcheng,40.6167,120.7167,44.98,51,0,8.61,CN,1612496421
224,sanmenxia,34.7747,111.1814,55.24,33,0,11.99,CN,1612496422
225,jiujiang,29.7333,115.9833,50.11,91,100,5.84,CN,1612496126
226,provideniya,64.3833,-173.3,-4.92,88,100,27.34,RU,1612496303
227,presidencia roque saenz pena,-26.7852,-60.4388,66.02,65,0,4.65,AR,1612496422
228,tabou,4.423,-7.3528,77.45,92,64,7.02,CI,1612496268
229,kentau,43.5206,68.5094,39.47,69,100,3.36,KZ,1612496423
230,oranjemund,-28.55,16.4333,61.63,93,56,9.13,NA,1612496423
231,thompson,55.7435,-97.8558,-11.2,77,90,8.05,CA,1612496423
